_id,username,uid,attraction_review_name,nb_cities_visited,src,nb_contributions
ObjectID(5c2e95f9aed964506ce1875c),"leak808","A0B644B1917E68740628A90C15379FF6","Tour Eiffel","3","612927327","7"
ObjectID(5c2e95fcaed964506ce1875d),"187lec","6310D21C56FCEAD5A4A7D2CF7AB0B7C7","Tour Eiffel","4","612950376","11"
ObjectID(5c2e95ffaed964506ce1875e),"tristancaillon","53436313F095B1EBF1523CA8B4F92C6A","Tour Eiffel","8","612956008","26"
ObjectID(5c2e9601aed964506ce1875f),"Hawkeyes1900","C0891B21B6B9690A84EF6490B807279D","Tour Eiffel","34","613066266","115"
ObjectID(5c2e9603aed964506ce18760),"SergePoissy","7C00EA3FEEAB2DE465C45C0894CC8287","Tour Eiffel","62","613182764","433"
ObjectID(5c2e9605aed964506ce18761),"Fannyball","4E3F62D05BA83003A14D02E134CDB818","Tour Eiffel","57","613232932","85"
ObjectID(5c2e9607aed964506ce18762),"RPG1975","4B356250A8EE7065EABA25D8F39EB94F","Tour Eiffel","17","613251734","44"
ObjectID(5c2e960aaed964506ce18763),"lolies3","8D56F7DFED03FA94BD67950445A34AF6","Tour Eiffel","33","612624931","102"
ObjectID(5c2e960daed964506ce18764),"601patricem","5DD4A913D64FAFE2F0E563B599CFFEDE","Tour Eiffel","26","612651966","96"
ObjectID(5c2e960faed964506ce18765),"377sissil","ED0E095D615C554E0F2FCE9F24AF563F","Tour Eiffel","3","612679362","14"
ObjectID(5c2e9612aed964506ce18766),"mel38","21371F9A6CC910821CF2639DEF5DFA3C","Tour Eiffel","16","612679929","20"
ObjectID(5c2e9614aed964506ce18767),"ilesdescilly","B254FC7843B68AA799C0436D105EF516","Tour Eiffel","7","612680717","25"
ObjectID(5c2e9617aed964506ce18768),"Pandafol68","25FA3351DB5688E366689B60349730B6","Tour Eiffel","87","612685899","142"
ObjectID(5c2e961aaed964506ce18769),"driss2603","B7A4CA24EE248D88D757156278488B2C","Tour Eiffel","139","612709540","515"
ObjectID(5c2e961daed964506ce1876a),"poirierclaire18","645A32D49B75E2AA9B5A383352BDDAD1","Tour Eiffel","29","612761096","69"
ObjectID(5c2e961faed964506ce1876b),"sebdu90","7558DE39D044843E479A34A9D444948E","Tour Eiffel","2","612791468","3"
ObjectID(5c2e9621aed964506ce1876c),"gagets2017","2BB6738956061ACA1B226D61F659A873","Tour Eiffel","24","612027296","35"
ObjectID(5c2e9624aed964506ce1876d),"14pierred","F31348FE6CA96C94E167F714C6DD7B7D","Tour Eiffel","33","612055873","116"
ObjectID(5c2e9626aed964506ce1876e),"guillaume0072014","12F625C17C7BCEC425789BA4E3111188","Tour Eiffel","132","612152562","215"
ObjectID(5c2e9628aed964506ce1876f),"edouards925","C92725756834FF3123BB6D7235217135","Tour Eiffel","191","612260359","517"
ObjectID(5c2e962baed964506ce18770),"fmg224","E0FDBC7B8C20F57F42EED765B018429C","Tour Eiffel","7","612288667","43"
ObjectID(5c2e962eaed964506ce18771),"923yannj","5B86D4749240743358309165584A2E2E","Tour Eiffel","13","612384330","24"
ObjectID(5c2e9631aed964506ce18772),"lukassa34","5F05701A095D3FA853A5E2B2A57208E5","Tour Eiffel","25","612423381","84"
ObjectID(5c2e9634aed964506ce18773),"464c_dricc","11012B08CA951E811C78320791FFAC06","Tour Eiffel","10","612482724","19"
ObjectID(5c2e9637aed964506ce18774),"benoit_cereghetti","56737B604CCFB36E38CC387F0FB41DBF","Tour Eiffel","39","612612438","70"
ObjectID(5c2e9639aed964506ce18775),"mimilyciouus","A2C5BB01C6934C6C28D57C5BD1385560","Tour Eiffel","5","611510249","8"
ObjectID(5c2e963baed964506ce18776),"JohnCR78","9821F41AF05219EADCADE526DD3DA4A9","Tour Eiffel","17","611631479","33"
ObjectID(5c2e963eaed964506ce18777),"johanna83500","EE30F88452D855AA33343D472CC01584","Tour Eiffel","20","611649308","92"
ObjectID(5c2e9640aed964506ce18778),"240gillesc","60CBA3BAA2DFA2A8772F001430EB582F","Tour Eiffel","2","611720967","3"
